Martian Runtime - v4.0.13
Serving UI at http://c0703a-s22.ufhpc:40287?auth=g1iBP0wCL0jvgNrNq87stnsM7rO-6FgUqL8VlDYUF_M

Running preflight checks (please wait)...
2025-09-11 14:22:58 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork1
2025-09-11 14:22:58 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork1.chnk0.main
2025-09-11 14:22:58 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork0
2025-09-11 14:22:58 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork1
2025-09-11 14:22:58 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.SPLIT_VDJ_INPUTS
2025-09-11 14:22:58 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.SPLIT_VDJ_INPUTS.fork0.chnk0.main
2025-09-11 14:22:58 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.SPLIT_VDJ_INPUTS
2025-09-11 14:22:59 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG
2025-09-11 14:22:59 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG.fork0.chnk0.main
2025-09-11 14:22:59 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG
2025-09-11 14:22:59 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GD_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-09-11 14:22:59 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-09-11 14:22:59 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS.fork0.chnk0.main
2025-09-11 14:23:00 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GD_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.MAKE_SHARD
2025-09-11 14:23:00 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_B_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-09-11 14:23:00 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_B_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS.fork0.chnk0.main
2025-09-11 14:23:00 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-09-11 14:23:01 [runtime] (chunks_complete) ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_B_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-09-11 14:23:01 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.MAKE_SHARD
2025-09-11 14:23:01 [runtime] (run:local)       ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.MAKE_SHARD.fork0.split
2025-09-11 14:23:01 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GD_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.BARCODE_CORRECTION
2025-09-11 14:23:01 [runtime] (ready)           ID.YL_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_B_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.MAKE_SHARD
