Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
BCR-YL_S6_L003_R2_001	(14.0, 3.0)	(15.0, 41.0)	(16.0, 1038.0)	(17.0, 5585.0)	(18.0, 10615.0)	(19.0, 11543.0)	(20.0, 13708.0)	(21.0, 15015.0)	(22.0, 14710.0)	(23.0, 15403.0)	(24.0, 19189.0)	(25.0, 22192.0)	(26.0, 22854.0)	(27.0, 24189.0)	(28.0, 28775.0)	(29.0, 36616.0)	(30.0, 49183.0)	(31.0, 66724.0)	(32.0, 96615.0)	(33.0, 140191.0)	(34.0, 198659.0)	(35.0, 274589.0)	(36.0, 440913.0)	(37.0, 790970.0)	(38.0, 1991959.0)	(39.0, 9011085.0)	(40.0, 2341431.0)	
BCR-YL_S6_L004_R1_001	(16.0, 2.0)	(17.0, 41.0)	(18.0, 349.0)	(19.0, 1496.0)	(20.0, 4556.0)	(21.0, 8363.0)	(22.0, 9908.0)	(23.0, 10644.0)	(24.0, 12646.0)	(25.0, 14618.0)	(26.0, 17467.0)	(27.0, 20654.0)	(28.0, 26509.0)	(29.0, 33702.0)	(30.0, 44284.0)	(31.0, 59667.0)	(32.0, 95599.0)	(33.0, 167662.0)	(34.0, 226386.0)	(35.0, 281029.0)	(36.0, 438584.0)	(37.0, 756206.0)	(38.0, 1673141.0)	(39.0, 8101808.0)	(40.0, 1889645.0)			
BCR-YL_S6_L004_R2_001	(15.0, 56.0)	(16.0, 891.0)	(17.0, 5014.0)	(18.0, 9575.0)	(19.0, 10854.0)	(20.0, 13737.0)	(21.0, 15640.0)	(22.0, 15691.0)	(23.0, 16014.0)	(24.0, 19684.0)	(25.0, 23173.0)	(26.0, 23946.0)	(27.0, 24935.0)	(28.0, 30326.0)	(29.0, 37366.0)	(30.0, 48588.0)	(31.0, 63570.0)	(32.0, 90705.0)	(33.0, 130417.0)	(34.0, 187213.0)	(35.0, 261267.0)	(36.0, 421337.0)	(37.0, 733959.0)	(38.0, 1740041.0)	(39.0, 8078967.0)	(40.0, 1892000.0)		
BCR-YT_S5_L001_R1_001	(17.0, 43.0)	(18.0, 553.0)	(19.0, 2107.0)	(20.0, 5838.0)	(21.0, 9674.0)	(22.0, 10955.0)	(23.0, 11560.0)	(24.0, 13738.0)	(25.0, 15779.0)	(26.0, 18473.0)	(27.0, 20635.0)	(28.0, 25852.0)	(29.0, 32395.0)	(30.0, 42583.0)	(31.0, 55997.0)	(32.0, 86958.0)	(33.0, 153320.0)	(34.0, 253259.0)	(35.0, 343576.0)	(36.0, 498555.0)	(37.0, 834448.0)	(38.0, 1927504.0)	(39.0, 11534406.0)	(40.0, 3653483.0)				
BCR-YT_S5_L001_R2_001	(13.0, 2.0)	(14.0, 6.0)	(15.0, 65.0)	(16.0, 1285.0)	(17.0, 6979.0)	(18.0, 13919.0)	(19.0, 16038.0)	(20.0, 18928.0)	(21.0, 19942.0)	(22.0, 19198.0)	(23.0, 19671.0)	(24.0, 24368.0)	(25.0, 28360.0)	(26.0, 28965.0)	(27.0, 28412.0)	(28.0, 32106.0)	(29.0, 38126.0)	(30.0, 46796.0)	(31.0, 59383.0)	(32.0, 80479.0)	(33.0, 112994.0)	(34.0, 165355.0)	(35.0, 249103.0)	(36.0, 450084.0)	(37.0, 851617.0)	(38.0, 2086490.0)	(39.0, 11515307.0)	(40.0, 3637713.0)
BCR-YT_S5_L002_R1_001	(17.0, 58.0)	(18.0, 526.0)	(19.0, 2010.0)	(20.0, 5964.0)	(21.0, 9995.0)	(22.0, 11530.0)	(23.0, 12570.0)	(24.0, 14596.0)	(25.0, 16759.0)	(26.0, 19741.0)	(27.0, 22709.0)	(28.0, 28202.0)	(29.0, 35611.0)	(30.0, 46172.0)	(31.0, 61182.0)	(32.0, 92551.0)	(33.0, 154515.0)	(34.0, 255078.0)	(35.0, 363447.0)	(36.0, 546360.0)	(37.0, 921127.0)	(38.0, 2179292.0)	(39.0, 11502433.0)	(40.0, 2966843.0)				
BCR-YT_S5_L002_R2_001	(14.0, 6.0)	(15.0, 90.0)	(16.0, 1397.0)	(17.0, 7572.0)	(18.0, 14388.0)	(19.0, 17202.0)	(20.0, 20244.0)	(21.0, 21984.0)	(22.0, 21292.0)	(23.0, 21573.0)	(24.0, 26018.0)	(25.0, 29946.0)	(26.0, 31171.0)	(27.0, 31545.0)	(28.0, 35832.0)	(29.0, 42661.0)	(30.0, 53292.0)	(31.0, 67165.0)	(32.0, 92177.0)	(33.0, 128257.0)	(34.0, 187423.0)	(35.0, 279634.0)	(36.0, 502608.0)	(37.0, 949681.0)	(38.0, 2355822.0)	(39.0, 11293450.0)	(40.0, 3036841.0)	
BCR-YT_S5_L003_R1_001	(16.0, 1.0)	(17.0, 49.0)	(18.0, 487.0)	(19.0, 2017.0)	(20.0, 5700.0)	(21.0, 9662.0)	(22.0, 11147.0)	(23.0, 12106.0)	(24.0, 14234.0)	(25.0, 16162.0)	(26.0, 19339.0)	(27.0, 22178.0)	(28.0, 28189.0)	(29.0, 35757.0)	(30.0, 45865.0)	(31.0, 61520.0)	(32.0, 94678.0)	(33.0, 157356.0)	(34.0, 259739.0)	(35.0, 370964.0)	(36.0, 562719.0)	(37.0, 964478.0)	(38.0, 2308197.0)	(39.0, 11293456.0)	(40.0, 2816314.0)			
BCR-YT_S5_L003_R2_001	(14.0, 8.0)	(15.0, 72.0)	(16.0, 1390.0)	(17.0, 7474.0)	(18.0, 14397.0)	(19.0, 17453.0)	(20.0, 21226.0)	(21.0, 22698.0)	(22.0, 22085.0)	(23.0, 22245.0)	(24.0, 26753.0)	(25.0, 30944.0)	(26.0, 31740.0)	(27.0, 32322.0)	(28.0, 37198.0)	(29.0, 44618.0)	(30.0, 55382.0)	(31.0, 71152.0)	(32.0, 97748.0)	(33.0, 136143.0)	(34.0, 199176.0)	(35.0, 301453.0)	(36.0, 540056.0)	(37.0, 1029362.0)	(38.0, 2581564.0)	(39.0, 10956157.0)	(40.0, 2811498.0)	
BCR-YT_S5_L004_R1_001	(16.0, 2.0)	(17.0, 40.0)	(18.0, 398.0)	(19.0, 1616.0)	(20.0, 4908.0)	(21.0, 8705.0)	(22.0, 10706.0)	(23.0, 11999.0)	(24.0, 13922.0)	(25.0, 16737.0)	(26.0, 20162.0)	(27.0, 22987.0)	(28.0, 29372.0)	(29.0, 37339.0)	(30.0, 49039.0)	(31.0, 64593.0)	(32.0, 95243.0)	(33.0, 149268.0)	(34.0, 239383.0)	(35.0, 359701.0)	(36.0, 568171.0)	(37.0, 964722.0)	(38.0, 2182951.0)	(39.0, 10512065.0)	(40.0, 2475132.0)			
