Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
GE-AL_S4_L005_R2_001 - polyg	(1, 0.2120254157922466)	(2, 0.22262219375498743)	(3, 0.22444170122885912)	(4, 0.22642204141564032)	(5, 0.2284140944195573)	(6, 0.23077711157216332)	(7, 0.2327983592098367)	(8, 0.23480282430355431)	(9, 0.2366510019566838)	(10, 0.24225325987455343)	(15, 0.247310889277425)	(20, 0.2501542368234985)	(25, 0.25247750032510935)	(30, 0.2544813011097954)	(35, 0.25623672024393596)	(40, 0.2579372814375211)	(45, 0.2596336469951174)	(50, 0.2615330114073119)	(55, 0.2643421295564423)	(60, 0.26723746802514553)	(65, 0.27001176239556773)	(70, 0.27363273610855865)	(75, 0.2780813339840019)	(80, 0.2814752188990912)	(85, 0.28488151590398125)	(90, 0.28980771700949914)	(95, 0.29781613720339445)	(100, 0.30868643566898124)	(105, 0.32146879034562903)	(110, 0.34014741213207167)	(115, 0.3581583334145072)	(120, 0.3806321876620149)	(125, 0.4060337916662403)	(130, 0.4439398943537459)	(135, 0.49791724084236544)	(140, 0.5370541683108606)
GE-AL_S4_L007_R1_001 - illumina_universal_adapter	(1, 7.656277754006859e-05)	(2, 9.843785683723103e-05)	(3, 0.00015585993999228247)	(4, 0.00022011798542769719)	(5, 0.00035820442349103514)	(6, 0.0004921892841861552)	(7, 0.000638478876985929)	(8, 0.0008271514359239552)	(9, 0.0011224650064356482)	(10, 0.002976104538378952)	(15, 0.008369405339094355)	(20, 0.019440382971388274)	(25, 0.032171679122336816)	(30, 0.049586703189299065)	(35, 0.07410456550404995)	(40, 0.09478471859460491)	(45, 0.12636030180609406)	(50, 0.1630005127518587)	(55, 0.2137370247967149)	(60, 0.2701367214331152)	(65, 0.33077854282221775)	(70, 0.393651895738122)	(75, 0.46064213857775227)	(80, 0.5326934544512725)	(85, 0.6168337594598781)	(90, 0.7178482271998237)	(95, 0.8426286014036801)	(100, 0.9829104771129795)	(105, 1.1513906972287775)	(110, 1.3494427432924445)	(115, 1.5852607465702062)	(120, 1.8642494922794093)	(125, 2.1978080842418057)	(130, 2.5879853970720648)	(135, 3.038000622127255)	(140, 3.3356200994353604)
GE-AL_S4_L007_R1_001 - polya	(1, 0.0006589867638270189)	(2, 0.0015982479811489318)	(3, 0.013555713201960357)	(4, 0.019083272301862093)	(5, 0.0276870144279273)	(6, 0.03530090921579591)	(7, 0.04082299954587335)	(8, 0.0530744111447404)	(9, 0.10010993321100789)	(10, 0.12251739725056503)	(15, 0.18043166968980262)	(20, 0.21547308577743593)	(25, 0.22598105355631914)	(30, 0.22905395532058806)	(35, 0.23149138603127434)	(40, 0.2736796639637819)	(45, 0.3169332582580612)	(50, 0.33878482184497927)	(55, 0.3661201943732046)	(60, 0.4025730999524873)	(65, 0.442115587044003)	(70, 0.47778126320707914)	(75, 0.5116463469055075)	(80, 0.5458879554063384)	(85, 0.6812599695673898)	(90, 0.7413415154879937)	(95, 0.7753422246780646)	(100, 0.8125522814395204)	(105, 0.8485564744547199)	(110, 0.8893329894570868)	(115, 0.9317047446171992)	(120, 0.9744847434446949)	(125, 1.018177479955865)	(130, 1.0646401483830377)	(135, 1.10994316416897)	(140, 1.1234316115020917)
GE-AL_S4_L007_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 7.246120017185062e-05)	(4, 0.00014218801543155595)	(5, 0.00023515710244449635)	(6, 0.0003212902271770735)	(7, 0.000410157736821796)	(8, 0.000544142597516916)	(9, 0.0007150416545259977)	(10, 0.0010675038697015276)	(15, 0.0019597336665345415)	(20, 0.0027639162691964754)	(25, 0.0030770033416371136)	(30, 0.0033512621483252876)	(35, 0.006513851737712549)	(40, 0.01776065031985741)	(45, 0.019778899823511862)	(50, 0.023721062551351747)	(55, 0.026521072701388544)	(60, 0.02954885711460704)	(65, 0.03291160367956334)	(70, 0.03648052286689539)	(75, 0.040918976456289655)	(80, 0.05140124101699869)	(85, 0.06528480696992527)	(90, 0.08319584845995066)	(95, 0.10455303525475282)	(100, 0.12867249768780412)	(105, 0.14950714352589528)	(110, 0.16778076445527115)	(115, 0.18910787301603968)	(120, 0.23552843191556572)	(125, 0.30439829094380466)	(130, 0.3810086467813446)	(135, 0.47700743227694203)	(140, 0.5377769494414417)
GE-AL_S4_L007_R2_001 - illumina_universal_adapter	(1, 8.476593227650451e-05)	(2, 0.00011757855122224818)	(3, 0.00022011798542769719)	(4, 0.0003308605743695821)	(5, 0.0004880877068179372)	(6, 0.0006658227261073822)	(7, 0.0008503937076771904)	(8, 0.0010787148478413233)	(9, 0.0014177785769473414)	(10, 0.003412512370357343)	(15, 0.008962766865029887)	(20, 0.02027437036959259)	(25, 0.033086877752431854)	(30, 0.050555769202163356)	(35, 0.07515703025673467)	(40, 0.09553284630656786)	(45, 0.1250611955343338)	(50, 0.16005147862411)	(55, 0.20218151415798885)	(60, 0.24547421015651186)	(65, 0.29365790044738915)	(70, 0.34820341067486366)	(75, 0.4167279168886987)	(80, 0.4905885752585853)	(85, 0.5757367745458077)	(90, 0.6737212703646052)	(95, 0.7872660569644564)	(100, 0.9246612425220041)	(105, 1.0906395004431892)	(110, 1.2876612302719597)	(115, 1.5272838567164804)	(120, 1.809483317189525)	(125, 2.150426115607169)	(130, 2.5547360968558515)	(135, 3.0546694325516923)	(140, 3.3915779194699582)
GE-AL_S4_L007_R2_001 - polya	(1, 0.0010267615345105625)	(2, 0.0033660278268508722)	(3, 0.005284198842720805)	(4, 0.00706975219035169)	(5, 0.00858460143168019)	(6, 0.009761754136358745)	(7, 0.01081039075016647)	(8, 0.011931488564146045)	(9, 0.013048484800757402)	(10, 0.01676670140429259)	(15, 0.02282855931602752)	(20, 0.02919201988357208)	(25, 0.03563860575244585)	(30, 0.04211909799423023)	(35, 0.04836005811771067)	(40, 0.05454195552708879)	(45, 0.0607295951447824)	(50, 0.06735993167975234)	(55, 0.07419343301369467)	(60, 0.08343948215562282)	(65, 0.09372787882606075)	(70, 0.10190587722130492)	(75, 0.11007703965426874)	(80, 0.11840734328911942)	(85, 0.12703596831788516)	(90, 0.13505427863426006)	(95, 0.14178141239511993)	(100, 0.1493209319133782)	(105, 0.15920573337078348)	(110, 0.16793935878017557)	(115, 0.17502196257961433)	(120, 0.18163589280511142)	(125, 0.18816040864398134)	(130, 0.1940478127983214)	(135, 0.2006773290178177)	(140, 0.2056394173178878)
GE-AL_S4_L007_R2_001 - polyg	(1, 0.43131367288706424)	(2, 0.44976120069685255)	(3, 0.451690309252371)	(4, 0.45501395411308365)	(5, 0.45735868917524825)	(6, 0.45996592518897883)	(7, 0.4621589018885193)	(8, 0.4641618388366658)	(9, 0.46606907231288713)	(10, 0.4718736246043892)	(15, 0.47710313574886715)	(20, 0.48040025707593187)	(25, 0.4832771034419999)	(30, 0.48577195623584135)	(35, 0.4879526282032772)	(40, 0.49027876944803933)	(45, 0.4929617479238363)	(50, 0.49627800994528604)	(55, 0.5026226032569368)	(60, 0.510775171872498)	(65, 0.5194675080697169)	(70, 0.5332542767967533)	(75, 0.5497169145988154)	(80, 0.558986479450988)	(85, 0.5641131777227693)	(90, 0.569903237774237)	(95, 0.5796518668630174)	(100, 0.5924971868648023)	(105, 0.6125577283342654)	(110, 0.6395578652722615)	(115, 0.661692984574569)	(120, 0.6901409783235464)	(125, 0.7248014945929179)	(130, 0.7723431513064235)	(135, 0.8324558692150259)	(140, 0.8786275990875467)
GE-AT_S3_L005_R1_001 - illumina_universal_adapter	(1, 4.9227765519134304e-05)	(2, 5.851071558845678e-05)	(3, 0.00011055149628011304)	(4, 0.00016779635504093494)	(5, 0.0002631575693894294)	(6, 0.0004040896295327796)	(7, 0.0005642908436079053)	(8, 0.0007987556582376106)	(9, 0.0011153605159049573)	(10, 0.0033949154911098534)	(15, 0.010618288371718642)	(20, 0.02464845471603745)	(25, 0.04105595644295801)	(30, 0.06424096814564263)	(35, 0.09830866351611124)	(40, 0.12756950668992603)	(45, 0.16877415911490357)	(50, 0.21784833400561815)	(55, 0.28234688995060864)	(60, 0.35183041821297695)	(65, 0.4265070537853381)	(70, 0.5060728222481494)	(75, 0.5918026383379011)	(80, 0.6850291961227273)	(85, 0.7928588751822114)	(90, 0.9174325207134018)	(95, 1.0650222563861664)	(100, 1.2317134621562729)	(105, 1.4297335835947282)	(110, 1.6604948668387465)	(115, 1.9324985813015094)	(120, 2.2494078916009776)	(125, 2.6240784458564885)	(130, 3.068753892606442)	(135, 3.606646445410243)	(140, 3.971394004254227)
GE-AT_S3_L005_R1_001 - polya	(1, 0.0007233668516140221)	(2, 0.0014432174342623918)	(3, 0.021381165723304917)	(4, 0.02714123624131951)	(5, 0.0397349645179417)	(6, 0.046380572212266206)	(7, 0.05121080056500366)	(8, 0.06678674687677501)	(9, 0.12407633257884)	(10, 0.1456683900496289)	(15, 0.20225950408435667)	(20, 0.23367022223392314)	(25, 0.24257800046968633)	(30, 0.24565445451311496)	(35, 0.2482448757950353)	(40, 0.2878427058233165)	(45, 0.33078341056201593)	(50, 0.3546671189732516)	(55, 0.3843650484445729)	(60, 0.4245141450562132)	(65, 0.46649305177727574)	(70, 0.5055143824761004)	(75, 0.5428490292774807)	(80, 0.5788212484403535)	(85, 0.7095725565919193)	(90, 0.7704370063656802)	(95, 0.8063623325656273)	(100, 0.8479907094660417)	(105, 0.8858306581828623)	(110, 0.9288879905306147)	(115, 0.9783061409166252)	(120, 1.0270721781253418)	(125, 1.0696986971994222)	(130, 1.123973912102916)	(135, 1.1822658313712542)	(140, 1.2070054559090329)
GE-AT_S3_L005_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.756754869071521e-05)	(4, 6.3152190623118e-05)	(5, 9.015713627932883e-05)	(6, 0.0001135051622112611)	(7, 0.00013699383890181948)	(8, 0.00017496954373086594)	(9, 0.00021997778649121728)	(10, 0.00037730972509037055)	(15, 0.001039606017308941)	(20, 0.0017225779710455477)	(25, 0.001965931913620422)	(30, 0.0021528286416827814)	(35, 0.0047766685438526395)	(40, 0.014443876485741608)	(45, 0.015354055674962813)	(50, 0.016536478472580697)	(55, 0.017875276783639073)	(60, 0.019383784300055697)	(65, 0.021018117985139233)	(70, 0.02282401746559488)	(75, 0.024776812598359628)	(80, 0.027890342181762107)	(85, 0.03399827015601077)	(90, 0.045014262612820564)	(95, 0.06237461696912949)	(100, 0.08381491227136081)	(105, 0.11406860915031725)	(110, 0.14832404515339997)	(115, 0.18428188980874127)	(120, 0.22824712280342493)	(125, 0.289585762544818)	(130, 0.37673516674138285)	(135, 0.48296229918723316)	(140, 0.5518131522071495)
GE-AT_S3_L005_R2_001 - illumina_universal_adapter	(1, 6.244893682998752e-05)	(2, 7.946767862374538e-05)	(3, 0.0001631548800062737)	(4, 0.00025289006400972425)	(5, 0.0003834139680147432)	(6, 0.0005630249867802703)	(7, 0.0007603580011326859)	(8, 0.0010399717092813687)	(9, 0.00139750593770891)	(10, 0.00383067967148523)	(15, 0.011271104802805815)	(20, 0.025565694573341687)	(25, 0.04214163964879286)	(30, 0.06542991713846077)	(35, 0.09946000249607276)	(40, 0.1283803583134055)	(45, 0.16760678594845868)	(50, 0.2153405872396183)	(55, 0.27360035374453434)	(60, 0.33431655761870355)	(65, 0.40150449671938365)	(70, 0.47573054352141025)	(75, 0.5633029970697707)	(80, 0.6576491348932606)	(85, 0.7657656289797351)	(90, 0.8894334273650699)	(95, 1.0322502639343132)	(100, 1.19713371363395)	(105, 1.3910379437925786)	(110, 1.617515342490666)	(115, 1.8877919781581074)	(120, 2.202833952725752)	(125, 2.575520037297655)	(130, 3.017226712224985)	(135, 3.547992012876622)	(140, 3.9068080197976744)
GE-AT_S3_L005_R2_001 - polya	(1, 0.001092012489973025)	(2, 0.003766627316006905)	(3, 0.005872309823398219)	(4, 0.007898243350648534)	(5, 0.009574800393471623)	(6, 0.01087722641834929)	(7, 0.012042517953566511)	(8, 0.013326237427546909)	(9, 0.014612910567458453)	(10, 0.01870452552634682)	(15, 0.025480769645283247)	(20, 0.0327083339184991)	(25, 0.03982655629195901)	(30, 0.04695951886492295)	(35, 0.05394651408058472)	(40, 0.061087521876942066)	(45, 0.06820872604648485)	(50, 0.07565030451402618)	(55, 0.08315798883812178)	(60, 0.0916031104684603)	(65, 0.1000455316042332)	(70, 0.10782858198356697)	(75, 0.11573115737758118)	(80, 0.1240396508609903)	(85, 0.13232170200177776)	(90, 0.1405231321277207)	(95, 0.14858990321735502)	(100, 0.15714537943291157)	(105, 0.16680940866765562)	(110, 0.17591170690259872)	(115, 0.1843408506067573)	(120, 0.19287022204151288)	(125, 0.20143247762363523)	(130, 0.2097758243650319)	(135, 0.21817188701076162)	(140, 0.22319911081603083)
GE-AT_S3_L005_R2_001 - polyg	(1, 0.2511808759908999)	(2, 0.26113571473417924)	(3, 0.2631134050512208)	(4, 0.2652119143699222)	(5, 0.2673725913239363)	(6, 0.26985029508789365)	(7, 0.27216793828853447)	(8, 0.27436321532917063)	(9, 0.2765307841703574)	(10, 0.28279317480772925)	(15, 0.2883563061335156)	(20, 0.29131537305379485)	(25, 0.29363290373382883)	(30, 0.29560775290554614)	(35, 0.2974078575747464)	(40, 0.2991554151205239)	(45, 0.30094969684831707)	(50, 0.3029843788527539)	(55, 0.3062601631513075)	(60, 0.3098029588500368)	(65, 0.3134332674507833)	(70, 0.3192681923025388)	(75, 0.32717878478979456)	(80, 0.33225844319787956)	(85, 0.3372424590900988)	(90, 0.34522689322563344)	(95, 0.3585138328312202)	(100, 0.3768403735088352)	(105, 0.39859519203750626)	(110, 0.43152991741708996)	(115, 0.4644471739724523)	(120, 0.5031763449154587)	(125, 0.547252073146119)	(130, 0.6107030341107105)	(135, 0.6965881567681371)	(140, 0.756243403839838)
GE-AT_S3_L007_R1_001 - illumina_universal_adapter	(1, 5.213827972352966e-05)	(2, 5.687812333475963e-05)	(3, 0.00013034569930882415)	(4, 0.0002156628843109636)	(5, 0.00034837850542540275)	(6, 0.0005640413897363664)	(7, 0.0007915538830754049)	(8, 0.0011257128576671177)	(9, 0.0015688882353171198)	(10, 0.0048322705616489535)	(15, 0.015210632132798094)	(20, 0.03507389475437953)	(25, 0.05766019753061258)	(30, 0.0893744911333523)	(35, 0.13542823361314607)	(40, 0.17431106669351)	(45, 0.2279466630138272)	(50, 0.29269482268067304)	(55, 0.3775034224633275)	(60, 0.46951563656632933)	(65, 0.5660145866317213)	(70, 0.6658864094108647)	(75, 0.7739050753889901)	(80, 0.8902331612019626)	(85, 1.0228734188029833)	(90, 1.1742872489793634)	(95, 1.3550544566557299)	(100, 1.5563437652156384)	(105, 1.791725346918041)	(110, 2.0626619175013627)	(115, 2.376524407765428)	(120, 2.736202700360003)	(125, 3.157073321944279)	(130, 3.647220075797209)	(135, 4.203688617395914)	(140, 4.572458404021188)
GE-AT_S3_L007_R1_001 - polya	(1, 0.0008247327883540147)	(2, 0.001696864012820329)	(3, 0.025244407073410816)	(4, 0.03211244046608304)	(5, 0.04696237050006653)	(6, 0.054626697619425395)	(7, 0.05998035097830964)	(8, 0.07753199187069422)	(9, 0.14220478802412154)	(10, 0.16667470465145734)	(15, 0.23034786778727634)	(20, 0.265808059795971)	(25, 0.27609115051053446)	(30, 0.279222291200113)	(35, 0.2816159122237841)	(40, 0.3242081469142966)	(45, 0.3696319641781579)	(50, 0.394195255724635)	(55, 0.42441223273058715)	(60, 0.465649346132649)	(65, 0.5090312387687924)	(70, 0.5490236692385453)	(75, 0.5865409533745138)	(80, 0.6219456892129573)	(85, 0.749248882907733)	(90, 0.8074674340157484)	(95, 0.8431466067992819)	(100, 0.8848188378448547)	(105, 0.9224650457270489)	(110, 0.9635343686652732)	(115, 1.0068067709139972)	(120, 1.053469109313473)	(125, 1.1038043525272907)	(130, 1.1586016845167202)	(135, 1.2076505341744501)	(140, 1.2222421427316217)
GE-AT_S3_L007_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 9.005702861336941e-05)	(4, 0.00015404491736497401)	(5, 0.0002298824151446535)	(6, 0.0003341589745917128)	(7, 0.00040999647237139236)	(8, 0.0005284925626521415)	(9, 0.0007014968544620354)	(10, 0.0011792730904740165)	(15, 0.0020537742367459457)	(20, 0.0028723452284053616)	(25, 0.003256272560914989)	(30, 0.003625980362590926)	(35, 0.006724890115613081)	(40, 0.017839349399586236)	(45, 0.01983908941916416)	(50, 0.023221441820137866)	(55, 0.02679149202811628)	(60, 0.033098327937218876)	(65, 0.04350086271078529)	(70, 0.05713217895232157)	(75, 0.07407001009705186)	(80, 0.10486903989846308)	(85, 0.14080084634647522)	(90, 0.18385995563269386)	(95, 0.23127071533838278)	(100, 0.29066664359942773)	(105, 0.3510176503481356)	(110, 0.3833893602597529)	(115, 0.4129185859577157)	(120, 0.5010915267356211)	(125, 0.6186737751681253)	(130, 0.7132227535718573)	(135, 0.8246678524965407)	(140, 0.9001602896613228)
GE-AT_S3_L007_R2_001 - illumina_universal_adapter	(1, 7.109765416844954e-05)	(2, 7.820741958529449e-05)	(3, 0.00017537421361550886)	(4, 0.0002891304602850281)	(5, 0.00046924451751176696)	(6, 0.0007346757597406452)	(7, 0.0009977370801639086)	(8, 0.0013674448818398461)	(9, 0.001850908930185303)	(10, 0.005245110940187085)	(15, 0.015768985710200988)	(20, 0.03590052348017804)	(25, 0.058741829842695256)	(30, 0.09062391390927252)	(35, 0.13684734279034833)	(40, 0.17531164767984062)	(45, 0.22623510548581205)	(50, 0.2882369997643113)	(55, 0.3605385742100132)	(60, 0.4356357084176186)	(65, 0.517630737032647)	(70, 0.608564636714094)	(75, 0.7197561540055767)	(80, 0.8388210255196734)	(85, 0.9728419995646455)	(90, 1.1205559078180996)	(95, 1.288834101563236)	(100, 1.4866235096006126)	(105, 1.71814117079114)	(110, 1.98654856082351)	(115, 2.3025700498524904)	(120, 2.663793057479965)	(125, 3.092880197964308)	(130, 3.5956794903530556)	(135, 4.203278620923542)	(140, 4.612611989173724)
GE-AT_S3_L007_R2_001 - polya	(1, 0.0013674448818398461)	(2, 0.0042042412831609826)	(3, 0.006737687693363401)	(4, 0.00904362161022678)	(5, 0.01095851842916369)	(6, 0.012551105882536958)	(7, 0.013776355456039906)	(8, 0.015174609321352747)	(9, 0.016613151857361043)	(10, 0.020995137275943147)	(15, 0.02837981362223944)	(20, 0.03646598682299777)	(25, 0.044212313236830905)	(30, 0.05211742441164026)	(35, 0.05964003020702333)	(40, 0.0675825861463614)	(45, 0.07525165310933149)	(50, 0.08317145779933563)	(55, 0.09158847208415781)	(60, 0.10253419293557117)	(65, 0.11437432227642366)	(70, 0.12422845714417075)	(75, 0.13423094911694938)	(80, 0.14522312043575278)	(85, 0.1563115105798642)	(90, 0.16624527482027995)	(95, 0.17457886785754448)	(100, 0.18374762133910774)	(105, 0.19496920108869467)	(110, 0.2053371350038991)	(115, 0.21412385709039722)	(120, 0.222227093728156)	(125, 0.23043176301919507)	(130, 0.23749697390609445)	(135, 0.24545469734498843)	(140, 0.2514392238885274)
GE-AT_S3_L007_R2_001 - polyg	(1, 0.4842105737142256)	(2, 0.5015512915659104)	(3, 0.5029613950402514)	(4, 0.5067224609457623)	(5, 0.509118451891239)	(6, 0.5116234592397741)	(7, 0.5140573689341407)	(8, 0.5161571196539155)	(9, 0.5184180250564723)	(10, 0.5246115787032665)	(15, 0.5296580901961431)	(20, 0.5329091489290857)	(25, 0.5357279339246841)	(30, 0.5380642028406595)	(35, 0.5400966477811548)	(40, 0.5423101547475991)	(45, 0.54486398248533)	(50, 0.5481297347334673)	(55, 0.5551736163241162)	(60, 0.5651187561891988)	(65, 0.5777869362089334)	(70, 0.6045608908156879)	(75, 0.6400608975107172)	(80, 0.6557810628317224)	(85, 0.6634216907330251)	(90, 0.6727762460841487)	(95, 0.6892296652118113)	(100, 0.71040870841987)	(105, 0.7445810849193937)	(110, 0.7914353869851241)	(115, 0.8322198453223135)	(120, 0.8795514496396948)	(125, 0.9382743201079451)	(130, 1.0167282115610237)	(135, 1.109571320249074)	(140, 1.1769221280428463)
GE-YL_S2_L007_R1_001 - illumina_universal_adapter	(1, 4.808069198955783e-05)	(2, 5.4637149988133904e-05)	(3, 0.00011801624397436923)	(4, 0.00018576630995965527)	(5, 0.0002600728339435174)	(6, 0.00039994393791314015)	(7, 0.0005507424718803897)	(8, 0.0007343232958405197)	(9, 0.0009091621758025481)	(10, 0.0024862088730600454)	(15, 0.007138234371649718)	(20, 0.016187457701284408)	(25, 0.025832881611589614)	(30, 0.03856333755882481)	(35, 0.055745628487093156)	(40, 0.07051208319148619)	(45, 0.0928962678958248)	(50, 0.11845377827147421)	(55, 0.1542450453885011)	(60, 0.19553980334953266)	(65, 0.24131568180399104)	(70, 0.2887494699376894)	(75, 0.33979630352580303)	(80, 0.3941218032104047)	(85, 0.4590578374227018)	(90, 0.5379989030171574)	(95, 0.6376063613203247)	(100, 0.7526992992217287)	(105, 0.8937042333279053)	(110, 1.0628223851375762)	(115, 1.2696537204522567)	(120, 1.5184197240286297)	(125, 1.8202113002170865)	(130, 2.1824604127076137)	(135, 2.611986214915929)	(140, 2.9002972763621133)
GE-YL_S2_L007_R1_001 - polya	(1, 0.0007168394078443168)	(2, 0.0012544689637275545)	(3, 0.010953655829621085)	(4, 0.014400167250872571)	(5, 0.019284728459811742)	(6, 0.02505222601255916)	(7, 0.028306414665852413)	(8, 0.036276882106121386)	(9, 0.07740554313118907)	(10, 0.09435660964070763)	(15, 0.13855150752310938)	(20, 0.1660217552455434)	(25, 0.17456613130928772)	(30, 0.17729536622549497)	(35, 0.17966967821537932)	(40, 0.2135801160812147)	(45, 0.24967735123817505)	(50, 0.2695040802258691)	(55, 0.2935780827050407)	(60, 0.32554868319769736)	(65, 0.36030315575654936)	(70, 0.39237603699398377)	(75, 0.4227892601633786)	(80, 0.45348834490151135)	(85, 0.5721882088965322)	(90, 0.6255525318385424)	(95, 0.6563538973214531)	(100, 0.6914510540850307)	(105, 0.7247381913438014)	(110, 0.7618521145877409)	(115, 0.7996094449099409)	(120, 0.8390657720481718)	(125, 0.8812465260334109)	(130, 0.9299658170320301)	(135, 0.986333871931788)	(140, 1.0002729016367606)
GE-YL_S2_L007_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00010708881397674246)	(4, 0.00019669373995728206)	(5, 0.0003037825539340245)	(6, 0.00039994393791314015)	(7, 0.0005267021258856108)	(8, 0.0007102829498457407)	(9, 0.0008851218298077693)	(10, 0.0012680189769246116)	(15, 0.002177618249927065)	(20, 0.0030308319841417636)	(25, 0.003366959730868764)	(30, 0.0036379599948099077)	(35, 0.006927553521295473)	(40, 0.018800424762316924)	(45, 0.020751626662693163)	(50, 0.024520278720274687)	(55, 0.027187882931295336)	(60, 0.030040816355075734)	(65, 0.03330899211876595)	(70, 0.03665453408683937)	(75, 0.04058928308038482)	(80, 0.04812090493194911)	(85, 0.05937921750990403)	(90, 0.07360454588081457)	(95, 0.0905355059191375)	(100, 0.11004752492289989)	(105, 0.1272267561707689)	(110, 0.14162517503284186)	(115, 0.15771166328094818)	(120, 0.1930544686708724)	(125, 0.24713606811792702)	(130, 0.30256086726028986)	(135, 0.36905121911544947)	(140, 0.41268095031837393)
GE-YL_S2_L007_R2_001 - illumina_universal_adapter	(1, 6.556457998576068e-05)	(2, 7.430652398386211e-05)	(3, 0.00017046790796297777)	(4, 0.0002841131799382963)	(5, 0.00037590359191836125)	(6, 0.0005420005278822883)	(7, 0.0007080974638462154)	(8, 0.0009506864097935299)	(9, 0.001153936607749388)	(10, 0.0028446285769822034)	(15, 0.007647889706739031)	(20, 0.016904734206328632)	(25, 0.026648942083812382)	(30, 0.03943272388943601)	(35, 0.05663075031690094)	(40, 0.07111789991055462)	(45, 0.09176418614807066)	(50, 0.11606110819919384)	(55, 0.1453273883160378)	(60, 0.17525630778793783)	(65, 0.2094818927349047)	(70, 0.24916419912548654)	(75, 0.30012230198201945)	(80, 0.35539411710441554)	(85, 0.42112129724854086)	(90, 0.49787993652387036)	(95, 0.5880417243370891)	(100, 0.700382698267891)	(105, 0.8395605660784643)	(110, 1.0081262270274551)	(115, 1.2178048135023172)	(120, 1.4694342408352683)	(125, 1.7784667692373524)	(130, 2.1522347042369776)	(135, 2.6227619721851885)	(140, 2.9446866824984728)
GE-YL_S2_L007_R2_001 - polya	(1, 0.0009769122417878342)	(2, 0.0031077610913250566)	(3, 0.004869262806942494)	(4, 0.00656519994257417)	(5, 0.007946427094274195)	(6, 0.009067581412030703)	(7, 0.009996412961828979)	(8, 0.01110663984958786)	(9, 0.012131632783365253)	(10, 0.01557071355221835)	(15, 0.021105238297416364)	(20, 0.02712668932330863)	(25, 0.03328145499517193)	(30, 0.03944933358303239)	(35, 0.04541745875053623)	(40, 0.05138558391804008)	(45, 0.05731305904595274)	(50, 0.06353819736700077)	(55, 0.07017595544475919)	(60, 0.07918103195720345)	(65, 0.08875564612112405)	(70, 0.09659367310982178)	(75, 0.10434034678373935)	(80, 0.11227846903121537)	(85, 0.12120923901967577)	(90, 0.13000057500136647)	(95, 0.1413629167128988)	(100, 0.15574035490937632)	(105, 0.16845682374621457)	(110, 0.1793143181918565)	(115, 0.1866024769030737)	(120, 0.19322100270403625)	(125, 0.2005589904960426)	(130, 0.20933371678413693)	(135, 0.21692303546608865)	(140, 0.2218902080458099)
GE-YL_S2_L007_R2_001 - polyg	(1, 0.42647792343337754)	(2, 0.44473547347341236)	(3, 0.44675267705097427)	(4, 0.4499544140402789)	(5, 0.45252673106172026)	(6, 0.4552476611311293)	(7, 0.4574156632426585)	(8, 0.459485318484209)	(9, 0.4614981510897718)	(10, 0.4671638049949414)	(15, 0.47213840822706094)	(20, 0.4754419888639435)	(25, 0.47841424982329794)	(30, 0.4809599039155451)	(35, 0.4831497608870695)	(40, 0.4854991583365593)	(45, 0.48814621897918437)	(50, 0.49132784949729347)	(55, 0.49766313631271747)	(60, 0.5054849907050187)	(65, 0.5146605351254261)	(70, 0.5313235545802072)	(75, 0.5522998492036516)	(80, 0.562666920591)	(85, 0.5679702209174482)	(90, 0.573335589046283)	(95, 0.5822724783955421)	(100, 0.5930023404588118)	(105, 0.6091154916361122)	(110, 0.6292516854413391)	(115, 0.6456655594921743)	(120, 0.6668826946727664)	(125, 0.6923296194568398)	(130, 0.7267370368389672)	(135, 0.7699432208551837)	(140, 0.8036250568854687)
GE-YT_S1_L007_R1_001 - illumina_universal_adapter	(1, 0.00012266845074139957)	(2, 0.0001397849787518274)	(3, 0.0002510424108196084)	(4, 0.00035944708821898473)	(5, 0.0005420233869968818)	(6, 0.0007902130431480855)	(7, 0.0010897522833305728)	(8, 0.0014805796729020085)	(9, 0.00198551724920963)	(10, 0.005026553725728977)	(15, 0.013514639966100144)	(20, 0.028271939865757358)	(25, 0.04292996390295408)	(30, 0.06125777154558654)	(35, 0.08549991016675548)	(40, 0.10630390886156318)	(45, 0.13510760219751114)	(50, 0.1678412503646534)	(55, 0.21060119008937056)	(60, 0.257001244770972)	(65, 0.3079936639177713)	(70, 0.3620082913602784)	(75, 0.4205376883410027)	(80, 0.48459173001255956)	(85, 0.5608823775587711)	(90, 0.6518384663043174)	(95, 0.7661563335803628)	(100, 0.8954214942169813)	(105, 1.0512446597145797)	(110, 1.239644571872558)	(115, 1.4669252479571566)	(120, 1.737091955522816)	(125, 2.0669382907515006)	(130, 2.458287163876321)	(135, 2.9109788206358465)	(140, 3.2158390188258417)
