Martian Runtime - v4.0.13
Serving UI at http://c0603a-s10.ufhpc:34941?auth=gpcp3Nb9T7-K7Pt_js3-p1M9hdYTHnP8XQDl4lkl-ts

Running preflight checks (please wait)...
2025-08-21 23:48:57 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork0.chnk0.main
2025-08-21 23:48:57 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork1
2025-08-21 23:48:57 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork1.chnk0.main
2025-08-21 23:48:57 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork0
2025-08-21 23:48:57 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.EXTRACT_SINGLE_CHEMISTRY.fork1
2025-08-21 23:48:57 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.SPLIT_VDJ_INPUTS
2025-08-21 23:48:57 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.SPLIT_VDJ_INPUTS.fork0.chnk0.main
2025-08-21 23:48:57 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.SPLIT_VDJ_INPUTS
2025-08-21 23:48:57 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG
2025-08-21 23:48:57 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG.fork0.chnk0.main
2025-08-21 23:48:58 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MAKE_FULL_CONFIG._MAKE_VDJ_CONFIG
2025-08-21 23:48:58 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_B_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-08-21 23:48:58 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_B_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS.fork0.chnk0.main
2025-08-21 23:48:58 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-08-21 23:48:58 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS.fork0.chnk0.main
